ID;ID_THREAT;FLOW;SOURCE;TARGET;ATTRIBUTE TARGET;ATTRIBUTE SOURCE
104;TH41;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway;;;
105;TH82;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL,SE.DS.TMCore.NoSQL;;
106;TH42;;SE.ID.TMCore.IoTFieldGateway,SE.ID.TMCore.IoTCloudGateway; SE.ID.TMCore.IoTDevice;;
107;TH83;;; SE.AS.TMCore.WebAPI;;
108;TH48;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway;;;
109;TH51;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTCloudGateway; SE.ID.TMCore.IoTFieldGateway;;
110;TH54;;; SE.DS.TMCore.NoSQL;;
111;TH56;;; SE.DS.TMCore.NoSQL;;
112;TH57;;; SE.DS.TMCore.NoSQL;;
113;TH59;;; SE.AS.TMCore.AzureEventHub,SE.ID.TMCore.IoTHub,SE.AS.TMCore.ServiceBus,SE.AS.TMCore.EventGrid;;
114;TH60;;; SE.AS.TMCore.AzureEventHub,SE.ID.TMCore.IoTHub,SE.AS.TMCore.ServiceBus,SE.AS.TMCore.EventGrid;;
115;TH62;;; SE.AS.TMCore.AzureEventHub,SE.ID.TMCore.IoTHub,SE.AS.TMCore.ServiceBus,SE.AS.TMCore.EventGrid;;
116;TH64;;; SE.DS.TMCore.CloudStorage;;target.StorageType is 'Table'
117;TH67;;; GE.DS;;
118;TH89;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL;;
119;TH9;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp;;
120;TH90;;SE.DS.TMCore.AzureDataFactory,SE.AS.TMCore.LogicApp;;;
121;TH91;;; SE.AA.TMCore.AzureAD;;
122;TH92;;SE.ID.TMCore.IoTFieldGateway;;;
123;TH94;;; SE.P.TMCore.WebApp;;
124;TH95;;SE.EI.TMCore.MobileClient;;;
125;TH96;;; SE.P.TMCore.WebApp,SE.P.TMCore.WCF,SE.AS.TMCore.WebAPI,SE.AA.TMCore.APIApp;;
126;TH97;;; SE.AS.TMCore.WebAPI;;
127;TH98;;; SE.P.TMCore.WebApp;;
128;TH99;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp;;
